Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
swift vdi,5313.59,52490,2015,First Owner,8.6,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.06032623443216588, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
magnao,3647.99,50918,2012,First Owner,8.6,hyundaii20,14,1,0,1,0,1,"[0.5714285714285714, 0.058487569125394163, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
figo1.4 exi,3512.39,66600,2012,Second Owner,8.2,ford,14,2,1,0,0,1,"[0.5714285714285714, 0.07682977608518682, 0.5499999999999998, 0.5, 0, 1, 1, 0]"
era1.1,3328.79,65231,2010,Second Owner,8.0,hyundaii10,16,2,0,1,0,1,"[0.7142857142857142, 0.0752285465654855, 0.5, 0.5, 1, 0, 1, 0]"
ciaz alpha1.3 ddis,8362.79,83592,2017,First Owner,8.4,maruti,9,1,1,0,0,1,"[0.21428571428571425, 0.09670420413395589, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
magna1.2,2942.39,34599,2010,First Owner,8.6,hyundaii20,16,1,0,1,0,1,"[0.7142857142857142, 0.03940030504065649, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
brio1.2 smti,3476.39,32152,2014,Second Owner,9.2,honda,12,2,0,1,0,1,"[0.42857142857142855, 0.03653820961720204, 0.7999999999999998, 0.5, 1, 0, 1, 0]"
city vmt,4436.4,138073,2012,First Owner,8.4,honda,14,1,0,1,0,1,"[0.5714285714285714, 0.16042705691908934, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
swift dzire,4423.14,106300,2013,First Owner,9.4,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.1232642625221061, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
xuv500 w8,9548.39,42214,2015,First Owner,8.8,mahindra,11,1,1,0,0,1,"[0.35714285714285715, 0.048307071141843905, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
swift dzire,2673.59,55169,2010,First Owner,8.6,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.06345968504084364, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
corolla h21.8,1427.99,131267,2008,Third Owner,7.8,toyota,18,3,0,1,0,1,"[0.857142857142857, 0.15246652506292632, 0.44999999999999996, 1.0, 1, 0, 1, 0]"
santro xing gl,3438.4,77358,2014,First Owner,9.0,hyundai,12,1,0,1,0,1,"[0.42857142857142855, 0.0894127031654986, 0.75, 0.0, 1, 0, 1, 0]"
alto k10,3163.5,67346,2012,First Owner,8.8,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.07770232336181003, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
